name_of_the_district,total_livestock,total_poultry
Ahmadnagar,2821543,8973914
Nashik,2246473,15880283
Solapur,2091321,2252238
Pune,1772448,18537999
Sangli,1322591,3027382
Satara,1311286,3979611
Beed,1238324,977573
Jalgaon,1219616,672888
Nanded,1176467,461485
Kolhapur,1161363,3199328
Yavatmal,1145243,640091
Aurangabad,1086055,633330
Amravati,1031716,664524
Buldhana ,980876,270858
Dhule,974295,1084010
Chandrapur,846045,575372
 Nagpur,833461,1040973
 Gadchiroli,831453,691511
 Thane,811549,5001067
Latur,762558,483662
Osmanabad,743350,411307
Jalna,721821,427425
Nandurbar,709076,963562
 Parbhani,621788,168360
Gondia,585168,378726
Bhandara,493423,270259
Wardha,488130,267178
Akola,465913,77516
Hingoli,463320,150765
Washim,459029,120477
 Ratnagiri,396799,824703
Raigad,383218,3830918
Sindhudurg,244228,769151
Mumbai,48706,86125
